id,titulo,descripcion,hashtags,menciones,audio,comentarios_muestra,etiquetas_contenido,vistas,likes,comentarios_totales,compartidos,etiqueta
a6cb7453,los rutina tarea ropa,pelicula amigos la hacks 🎀 🏋️‍♀️ 🎮,#chill #escuela #gato #stream,,j balvin,el mascota con stream estudio un amigos la gato ✨ 🎮 | comida las skincare puro escuela moda una fiesta estudio 🌸 | los cumpleaños rutina con stream hoy viaje tutorial skincare unboxing oficina 🎀 | trabajo haul mascota 🎮 💖 💕,,364870,46568,572,3421,0
cc2817b4,un viejón los la unión tepito hoy cártel de santa rosa de lima aqui lavada p90 chimales 💯,un ncdj con el nini el ejecución los cincuenta aqui iván archivaldo siempre plebes puro crico 🧹,#belicon #culiacan,,,aqui la barredora aqui cártel de oaxaca aqui frecuencia la topón dar cran hoy zacatecas hoy pastillas las mula | el patron cartel de sinaloa aqui zapopan con foco 🚨 🍅 ⚡ | cártel de tijuana el mota con encajuelado una cártel de oaxaca iván archivaldo alinear la suburban el cártel 🤑 👹 | cln jefe de jefes el licenciado alineado una culiacan 💶 🌿 🐂,,3729907,697272,23344,81303,1
b7b271e0,culiacan nuevo laredo la barredora un los rusos una el piyi con el señor de la montaña,la cdn un cln compa suburban 🩸 🧹 ☠️,#hectorbeltrán #rivotril #brazoarmado #viagras #mz,,,jgl encajuelado las félix gallardo cuerno de disco levanton aqui ar15 🇨🇴 | la gatillero la tusi goma siempre tablazo 🧿 | las el señor de los cielos zapopan extorsión goma aqui tj un viejón culiacan 🗡️ 🐘 | plomazo ar-15 cártel de colima puro bacha el mota siempre chiva puro frontera chica 💶,,512089,76362,5575,4591,1
cc3a1eeb,cjng el patron los la linea super 38 zambada con alucin 🤐,buchonas la joaquín guzmán los zapopan,#losmexicles #elnini #cobrodepiso,,,matón la raton los rusos mañoso cártel de colima mdma puro frontera chica marihuana 💶,,4950480,581237,31685,38972,1
82694d65,con el cártel los antrax sierra plebe una dar cran el tijuana 💰 🚁 👃,aqui churro una amapola rpg siempre cocaína plaza cártel de colima monstruo 👺 🎰,#losántrax #tachas,,,halcón con plaza amado carrillo cocaína los ninis,,586075,88748,6383,10318,1
5ae5af11,la compras oficina hoy familia hoy tips puro gato los broma 🍔 ☕,viernes amigos mascota anime 💖,#rutina #escuela,,belinda,rutina amigos la challenge con fiesta serie 🌸 💪 | hacks gym diario un receta,,728888,98618,2464,13204,0
6b22dc35,aqui iván archivaldo frontera chica un el ratón un alfredillo un jale el clica 💀 👃 💴,la levanton grupo sombra un tiroteo matamoros la ak47 siempre metanfetamina,#barredora #zapopan #z-1 #clica #altiro,,larry hernandez,sicario el mayo mini lic el licenciado blindada rusos las cuatro letras 🌿 🍾 🚤 | fierro enfrentamiento chiva la mayiza cuerno cohete con plomo,,1732669,134560,8309,7444,1
c1f54bfb,vlog lunes hoy perrito aqui viernes 🎉 😂 🌸,moda familia los universidad siempre lunes 💖,#gamer,,feid,pelicula hoy fiesta el coquette gamer vacaciones ✈️ 🐶 💄,,548544,45265,3302,2634,0
e300559b,un levantón las roche una encobijado una cártel de tijuana compadre la barredora,un pariente hector beltrán rs tableada balacera magnum los la tuta pechera 棺 🐕 💵,#alfredillo #bélicon #pastillas,,arsenal efectivo,mz siempre pacífico un punta hector beltrán cocaína el chueco halcón 💯 | hoy el mencho las encobijado el el patron las toque 🇨🇴 🐊 🧨 | una el señor de los cielos con artillada fentanilo | hoy pechera las sierra un cjng 🤑 🛑,,2842169,344116,28861,9181,1
3637e7c0,aqui gym chill una prepa la unboxing jefe con hacks cumpleaños anime 💅 🍕 🧸,hoy chill amigos puro moda universidad outfit las skincare con perrito 💖 💪 🌙,#gym #cumpleaños #amor,,maluma,el coquette aesthetic con challenge amigos review 🎬 ❤️ 🏖️,,414630,52230,2343,3490,0
bb07315c,un mañoso puro suburban el nemesio oseguera una los chimales el lazca pizza puro los rusos con troca,con rpg las jgl los chimales compadre el dámaso alucines 🍕 🇺🇸,#suburban #elmencho,,,mayo un michoacan las m16 hoy los ántrax cds el m60 los triángulo dorado siempre raton,,4561680,706786,39891,82473,1
e173f452,cjng el cártel tahoe ncdj cartel del golfo 🐍 😈 🕸️,un el guano cds tijuana ovídio hoy csrl 💊,#alfredillo,,saúl el jaguar,un pacífico el charolazo monstruo hielo morritas una mota 🧨 | alineado ak47 hoy el narco de narcos suburban el al tiro los rusos,,351669,40259,3916,1405,1
7ccf03b2,estudio siempre amigos las haul compras el diario puro jefe una perrito gamer 💄 ✨ 😍,siempre stream diario fiesta universidad receta el tutorial 🎮,#unboxing #vacaciones,,shakira,aesthetic grwm aqui broma,,716707,74996,3390,2483,0
8719b9dc,baile videojuego familia lunes puro tarea receta 🍣,siempre gamer review stream el amor las trend los jefe 🍣 🏖️ 🎉,#unboxing #coquette,,ariana grande,risas siempre escuela puro perrito con haul aqui comida 💪 ✨ ✈️ | videojuego trabajo una review 🎉 💅 | puro compras puro relax risas hoy universidad coquette moda 🥺 🐱 | hoy risas una compras cine cumpleaños 🍦 💕,,924979,82802,7660,5998,0
b4a1e8f0,buchón siempre pastillas sicario 🏇 🏎️ 👻,4 letras el licenciado sicario la clika un tablazo ovídio gatillero los viagras 🐊 🗡️,#beretta #osielcárdenas #elchayo #frecuencia #losántrax,,,m16 aqui barredora manguera el el licenciado el guano meth | hector beltrán puro caro quintero el cartel del golfo patrón 🔪 🐕 | un los beltrán leyva el señor de la montaña aqui los aztecas barret la tuta toque siempre nuevo laredo ⚡ 🗡️ 😎,,926193,169571,5331,21940,1
406b4b68,mencho roche r-15 las metanfetamina comando hoy el mayo manguera z-40 🐎 🚁,las 9mm el alinear éxtasis siempre el chayo 🩸 🦍,#matamoros #elchapo #701,,luis r conriquez,el azul raton con el padrino la tachas siempre los ántrax ⚔️ 🐔 | un tubo las jueves negro hoy 4 letras tusi belicon siempre rusos siempre extorsión,,2491054,357679,21518,21260,1
8d627063,puro unboxing siempre oficina una novia mascota la relax,unboxing hoy serie hoy stream una challenge trend,#amigos,,,,,959827,158718,8503,9819,0
b93f0c29,amigos aqui novia ropa vacaciones una aesthetic cumpleaños los tips chill 🎧,hoy serie un rutina el comida siempre outfit cine los coquette con crush aqui tutorial 👗 🎂,#familia #haul #amigos #novio,,harry styles,oficina las gamer las amor familia lunes maquillaje unboxing vacaciones | diario crush puro unboxing prepa vlog amigos 🎀 😍 | escuela el novio los crush 🍕,,453382,36365,2733,1646,0
00784b5e,mascota los gym viernes la rutina con videojuego una lunes 🧸 🥰 💪,broma el skincare las anime siempre rutina una chill la viaje 💅 ☕,#risas #viaje #diario,,bts,,,660368,47936,3062,3368,0
34e848e6,frontera chica aqui sicario el ovídio aqui mamalona 💰,un tablazo puro belico una señor de los gallos las tijuana 🍭 🏴‍☠️,#ak47 #jrz #bala,,los originales de san juan,manta el patron una los caballeros templarios las cheyenne cobro de piso piyi mencho hoy churro 🪦 | cristal aqui jesús alfredo cuerno aqui toque quebrar 🧪 | pastillas siempre cártel de juárez puro metanfetamina bélicon 💸 🇺🇸 🍭 | levantón bacha pizza los wato los amapola  Rolex 🚙 💴,,2506721,295958,7367,20767,1
f6b6aeba,aqui grupo sombra puro viagras el venadear marihuana 🚙,con ejecución los zetas un maría,#z-1 #uzi #sombreriza,,,enfrentamiento el piyi un meth culiacan extorsión cuatro letras foco el señor de los cielos 🐆 🦍 🛑 | caro quintero las buchon cártel de sinaloa sierra secuestro madriza al tiro la félix gallardo ☢️ 💴,,197741,21733,306,2193,1
9310e332,chaleco los plomazo alucines puro los ántrax buchon grupo sombra 🖤,una uzi arturo beltrán hoy ovídio la el guano hoy cohete la la unión tepito sombreriza,#elminilic #loschapitos #cjng,,larry hernandez,los cheyenne fenta siempre sombrero 🐕 🏇 🇨🇴 | pistolero narcomensaje los chimales con gatillero siempre ar15 mota bazuca el zetas 💊 🍅 | jesús alfredo el fn p90 hoy matamoros joaquín guzmán una cincuenta pariente | una nieve el artillada una toston ejecutado con culiacanazo el marihuana 🤠 🐔 💰,,838887,76498,6396,4052,1
57a7c575,siempre lunes viaje aqui moda risas tutorial,haul una crush trabajo diario aqui review puro estudio siempre prepa 😭 🎬,#pelicula #grwm #videojuego,,young miko,siempre pelicula con viernes un novio los humor tutorial rutina oficina 🎀 🎧 | crush maquillaje estudio ❤️ 🌙 | el tarea anime hoy vacaciones gato la diario | trend familia novia aqui cumpleaños,,684372,113179,11246,16625,0
c4ac8507,una videojuego lunes la crush tips 🍣 🌙,la anime crush prepa los trend los perrito aqui estudio challenge 👗 🍟,#estudio #comedia #prepa #trabajo,,,las stream gato hoy cumpleaños los skincare tips el hacks novio las estudio | haul stream el cumpleaños los diario hoy rutina oficina la viernes gym 💖 | con amor siempre compras los vlog un baile estudio challenge la escuela,,70890,11509,350,652,0
3230497a,puro nuevo laredo con plebe siempre extorsión con iván archivaldo glock el manta,z-40 la topon hoy super 38 puro cártel del golfo 🍬 🤫,#sombrero,,dharius,una plomo el cártel la tuta éxtasis cuerno de disco z-1 una meth ak-47 🐂 🤑 👃 | los zetas aqui cártel de oaxaca los aztecas 🧿 🍾 🍄 | el dar cran alucin el azul hoy juan josé esparragoza el el piyi hielo siempre la barredora 🍕 | hoy unión tepito hoy alineado hoy meth buchonas clonazepam z-40 💀 🏹 ⚰️,,2289948,186795,15439,22410,1
e9d3f5aa,una prepa videojuego lunes un perrito las unboxing 💄,puro skincare un estudio aqui serie outfit,#gamer,,,skincare los familia aqui humor tips chill,,761585,134220,3475,13848,0
f1a39e67,barret un chimales el narco de narcos siempre el chayo guanajuato la chapo 🐕 🤫,siempre cártel de juárez puro cártel de colima encajuelado las balacera clonazepam con escuadra señor de los gallos el jgl,#gallo #lavada #carteldesinaloa,,,viejon el botas blancas aqui triángulo dorado wato 💎 | un venadear 701 el guano aqui pacífico las los beltrán leyva hoy tostón 🦇 💎 🛑 | los zacatecas la linea un p90 puro comando cohete 💷,,340517,52921,3628,6815,1
d5247679,la zapopan con cuerno de chivo el lazca levantón blindada 🗡️ 🧿 ⚡,comando los zacatecas la éxtasis el gallo cds la cártel de jalisco nueva generación plebes puro extorsión 🐊,#guanajuato #alinear #piyi #levanton,,los tigres del norte,puro halcón las mayiza ak47 aqui sierra arturo beltrán la halcon puro jalisco 🎲 | ovídio aqui triángulo dorado mula los cártel de jalisco nueva generación puntero el botas blancas pacífico siempre joaquín guzmán,,508296,28738,1185,2188,1
7e8452c0,con challenge una mascota viernes 📚,gato review gym crush fiesta la viernes 🥺,#vlog #tarea #trabajo #novia #aesthetic,,camilo,puro gato trabajo chill escuela aqui baile videojuego tips 😊 ☀️,,366735,70697,2721,1967,0
0b31ed4c,hector beltrán aqui manguera ar15 toque un chimales puntero mayiza secuestro 💊 棺,una caro quintero el los pelones ar-15 perico barredora 🩸 ☢️,#tahoe #culiacanazo,,,los cártel del noreste hoy pariente los rusos con tahoe puro don neto el tostón mañoso 🍕 ✈️ | piyi la el jj aqui cártel de tijuana,,2102201,144164,10714,6632,1
22f15c12,la universidad siempre oficina las serie,con comida puro broma las trend la cumpleaños lunes compañeros,#amigos,,kenia os,amigos las humor aqui stream viernes outfit estudio siempre gamer compañeros 🍔 | aqui viaje los stream la tutorial vlog siempre comedia con jefe una coquette 😭 | unboxing la familia ropa puro comedia outfit el haul 👗 🍣 😂,,73042,4308,187,110,0
64581c24,tiroteo los señor de los gallos un el piyi los los viagras las cincuenta una gallito las el botas blancas barret 🤠,cohete hoy lavador la ejecución morritas 💉 🤑,#piyi,,los nuevos rebeldes,,,948503,71237,4679,8166,1
9b11a89a,siempre gallito puro ninis sinaloa siempre zapopan rs el jrz 🚤 🛑,patrón suburban marihuana una mdma 💰,#elnarcodenarcos #38super #cohete,,,el chueco colt la bala hoy morritas 🚙 🧊 | z-40 con gallito piso frecuencia cuatro letras alucin hoy mayiza calibre 50 🦍 | el la mayiza puro artillada siempre mz los p90 el señor de la montaña,,1620410,133560,2176,7005,1
36dbcb6d,el buchones las el nini con rusos un con huevos mp5 los jesús alfredo arellano félix,hoy reynosa con z-40 siempre magnum piyi r-15 mini lic cuerno de disco maña,#cárteldelgolfo #polvorosa #4letras,,grupo marca registrada,,,4266528,666722,24817,25199,1
7d74fb21,aqui trabajo la diario comedia broma videojuego con pelicula serie 🌻 🏖️,amigos la cine un comida broma aesthetic con fiesta rutina universidad 🍦,#tarea #perrito #cine #review #videojuego,,danna paola,,,767474,118149,5055,14053,0
a25aad61,empresa levanton dar cran con pozolero el chapo,el cártel con tablazo ovídio con zacatecas siempre gatillero plaza con zetas alucin,#halcon #lafamiliamichoacana #crico #pizza #hielo,,,jesús alfredo puro lanzagranadas la el patron | cdn bélico con z-1 siempre alucines csrl un quebrar aqui sicario ⚔️ 🚔 | siempre al 100 chaleco los caballeros templarios viejón 🍅 👑,,268870,50512,1493,4882,1
d28f3546,la la chapizza el patrón las hielo las cng los rusos cuerno un viagras michoacan 🎰 🏴‍☠️,aqui don neto los sierra aqui metanfetamina el rpg hoy chapizza balacera,#sierra #levantón #amadocarrillo #manta,,alta consigna,hoy con huevos los troca siempre cdg tj puro toston barret el patron siempre encobijado 🌿 ⌚ 🧹,,3617768,434380,43180,61557,1
16ef712a,moda cine aesthetic prepa review coquette,restaurante aesthetic comida los stream un receta aqui amor siempre tips,#familia #humor #aesthetic,,young miko,un trend diario una challenge la maquillaje siempre vlog una comedia hacks 🍟 🥰,,945320,74739,1362,2500,0
6fcf6784,dar piso una comando don neto siempre cdn ak 47 un raptor tablazo 🧿 🐅,aqui topón pastillas con 9mm reynosa el burrero prestanombres las buchon,#pacífico #ncdj,,maximo grado,siempre cártel de colima con magnum bazuca mdma tostón 🎲 🦂 🤐 | una halcón hoy el mencho hoy al 100 un radio hoy venadear 🛡️ | un los mexicles gallo meth al 100 las levantón punta 🍄 📍 | empresa los zetas con secuestro roche la la maña jale,,3282382,587389,53247,28659,1
2e1ea3f7,aqui tj con bacha mamalona culiacanazo la el mencho las joaquín guzmán,m60 mañoso con z-40 alfredillo ovídio sombreriza,#topón #piyi #chapo #caroquintero #elseñordelamontaña,,maximo grado,alucín el cártel sombreriza topon 🍅,,930105,64744,1311,9296,1
e6cfa964,las ovídio siempre jueves negro puro sombrero puro arturo beltrán cartel de sinaloa una tj señor de los gallos maría 📍 🐎,tamaulipas siempre cártel de oaxaca nieve troca el matón puro viejón 棺 💯 🛻,#polvorosa #raptor #heroína,,legado 7,los al tiro puro punta un quebrar patrón 🎰 🪓,,2936832,448861,5093,34353,1
7bf24dd1,con anime siempre hacks viernes 🎂 🍔,las trend puro unboxing el rutina los crush un compañeros puro relax la novio,#grwm #rutina #unboxing #tips #vlog,,,broma hoy perrito hoy grwm aqui aesthetic 💪 🍟 🎀 | puro haul outfit el cumpleaños,,758092,99196,1920,4583,0
5660ee3f,aqui matón aqui con huevos aqui chapo ⚠️ 🛻,una plomo nemesio oseguera el botas blancas cjng las cdg,#viejón #chimales #losninis,,arsenal efectivo,juan josé esparragoza halcon la culiacanazo amado carrillo madriza 💊 🥃 🤐 | plebe encobijado con la tuta los cartel del golfo matón las narcomanta 💶 | hoy marihuana super 38 cartel de jalisco un filo hoy m16 siempre rusos aqui cocaína 🚤 | puro blanca chimales clika plomo aqui el licenciado morrita con buchón una mayo,,450029,44892,2113,3554,1
0067affb,novio aesthetic amor los estudio anime gato un maquillaje jefe 🧸 💖,el tarea broma novia con tips la baile 🐱 🥰 💻,#tips #diario #risas #familia,,,oficina amor aqui familia baile compras vlog coquette | novio hoy restaurante broma rutina 🌙 | el amor las receta risas el amigos siempre coquette viaje los stream 🎬 🧸,,51268,7333,367,787,0
6825381f,cobro de piso el dar piso la reynosa 🔫 👹,balacera calibre 50 el chayo puro prestanombres,#cárteldesinaloa #alinear #culiacan,,conneccion divina,tubo la culiacan cincuenta el cartel de sinaloa las patrón las goma belicon | con chaleco cártel de oaxaca un mdma buchonas puro toston el chapo los hierba 🏴‍☠️ 🐆 🐕 | siempre marihuana con lfm siempre foco ak 47 hoy bélicon 🎰 ⚔️ 🐔 | hoy cártel de oaxaca cartel de sinaloa el nini beretta las rusos la chiva rafael caro quintero 🐕,,447029,55239,4860,6602,1
572b6c40,un ar-15 maría sombrero 🍭 🦅,hoy los pelones una narcomensaje jefe de jefes félix gallardo culiacan cuerno de disco el padrino las plebes 🐍 🚨,#magnum #bacha,,los tiranos del norte,el unión tepito puro el patron las z-1 el los viagras sierra 🐂 | puro narcomensaje 9mm sierra 🏹 | con buchones hoy plebes aqui ak 47 prestanombres escuadra con jgl hierba alucín ☣️ ☢️ | matón hoy cng la tj ☢️,,2035135,298982,24668,8138,1
cacecc6d,unboxing aesthetic tarea compras 💅,vacaciones universidad cumpleaños,#chill #viernes #receta,,karol g,,,862659,46187,3551,3585,0
1e82fdd4,tj los chimales ak47 magnum puro charola una burrero,las artillada alucines una fuerza anti-unión chapizza buchona el señor de la montaña hoy empresa ak 47 ⚰️,#clonazepam #puntero #empresa #clika #bélico,,los capos de méxico,un buchonas el alfredillo cjng las jgl hoy tahoe bala,,458263,56492,5391,4241,1
1683bd7b,el alinear hoy charola encobijado aqui tusi rpg lavador un el chueco con los zetas 🛻,tusi clonazepam hoy marihuana mota ak-47 con cuerno de disco tj con gallito,#fronterachica #jrz #cuernodechivo #tijuana,,yarithza y su esencia,,,578696,47634,3012,4610,1
a0717d91,la aesthetic ropa la diario amor 🍟 ✨,stream hoy lunes novio ❤️,#unboxing #videojuego #restaurante #rutina,,young miko,un gato aqui broma jefe hoy hacks la coquette aqui cine crush 🎂 ☀️,,178619,22310,1302,1722,0
04db55ff,videojuego tarea con novio escuela el compras un pelicula prepa puro familia 🐶,aqui baile la cumpleaños la receta trend amor challenge fiesta puro lunes 🍕,#review #aesthetic #compañeros #coquette,,harry styles,,,409117,30085,2645,2835,0
ba95442e,la aesthetic hoy escuela gym una receta los baile pelicula ropa una compras 💻 🍟,la crush siempre serie siempre grwm trabajo familia hoy receta 🎉 😊,#moda #trend #diario #tarea #amor,,rauw alejandro,el familia videojuego una gamer 🌙 | challenge la humor aesthetic un baile compras las compañeros la pelicula mascota | estudio serie lunes ☕,,680441,100422,4583,13106,0
fe68bb7e,aqui rutina restaurante relax maquillaje 🥺 ✨,serie las escuela amigos la tutorial un universidad anime,#coquette #chill #maquillaje #moda #prepa,,bizarrap,la jefe aesthetic siempre chill hoy haul 🥺 😂 🏋️‍♀️ | una unboxing una aesthetic una trend gamer cumpleaños 🌻 | siempre lunes vlog el tips aesthetic 📱 | estudio tutorial escuela siempre prepa cumpleaños tarea hoy serie un universidad 💅 💖 💕,,20829,3428,241,385,0
c2fbe942,lavada sicario cártel de oaxaca las sinaloa lfm jrz ak-47 una joaquín guzmán 🍕,la compadre don neto cln las joaquín guzmán la raton las viejón lanzagranadas z-1 📍 💵 🔥,#laempresa #ak47,,nene torres,una cártel de colima calentando la plaza las p90 la barredora perico las juan josé esparragoza 🔥 🕷️ 🦍 | caro quintero bazuca el narco de narcos el licenciado un hector beltrán mp5 🤑,,872221,52244,3694,1969,1
1a4681fb,una amigos el vacaciones aqui comida,perrito una vacaciones el escuela estudio con tips puro viernes 📱 👗,#relax #viernes,,duki,vacaciones aqui jefe outfit escuela haul 🎉 ❤️,,917559,111486,5054,11293,0
2baf1bbb,aqui fiesta broma amor serie risas gamer 🍣,stream oficina una estudio 💄,#moda #coquette #diario #receta,,sebastián yatra,los jefe los receta aqui outfit una tips crush la fiesta videojuego | crush un tarea las cine los comedia aqui compras risas novia un tips 🍟 📱 | coquette aesthetic una serie las amigos los risas 📚,,767805,62308,3961,6483,0
18df8559,la relax las humor el jefe 👗,compras universidad novio puro gym review 💄 ✨,#trabajo #serie #perrito #grwm,,blackpink,gym review las compañeros los oficina aesthetic 🐱 | un compras maquillaje las familia los vacaciones 🥺 💖,,892404,152443,6408,4963,0
d7dce137,restaurante siempre serie perrito crush hoy prepa diario videojuego 💪 🎂,familia una prepa aqui perrito maquillaje moda puro comedia 🎧,#humor #lunes #unboxing,,,,,499355,53682,3704,4046,0
6c4a7958,aqui m60 buchona siempre beretta siempre zapopan pizza las alucín los chimales con el lazca 🐆 🐊,dámaso con zapopan una toston aqui tablazo lanzagranadas el 9mm 🦏,#levantón #tubo #cárteldesinaloa,,,el lobos hoy buchon el chueco venadear los buchón el patron | el mini lic los gallito con rivotril calibre 50 los fierro el m16 🧨 ⌚ 🤐,,679997,101233,3071,12002,1
48721679,grupo sombra con hierba sierra cng la alineado cartel del golfo 🔥 🦏,alucines con el lazca aqui antrax 🩸,#cocaína,,,,,786570,57751,1733,1925,1
7fb2575f,una la unión tepito matón la buchon guanajuato aqui el mini lic ejecución los narcomanta,viejón aqui foco antrax las artillada siempre la linea don neto los halcon ⚰️ 🛻,#magnum,,,,,67105,7180,607,820,1
10cb8924,las moda estudio escuela,comedia puro crush un compras 😍,#aesthetic #coquette #comida #review,,blackpink,,,420364,50744,4938,7581,0
1fb8d8f2,amigos hoy anime unboxing comida siempre moda serie 🌸 💕 ☀️,videojuego compañeros gato novio con compras hoy baile hoy grwm 😭 💪 💄,#chill #gato #rutina,,,aqui pelicula familia broma coquette 🍔 🐱,,95409,7107,180,708,0
42f122c1,el moda siempre prepa restaurante aqui compras la humor una vlog 🍔,challenge un estudio novio chill compañeros una restaurante siempre maquillaje 🏖️ 😍 😂,#aesthetic #escuela #perrito #relax #cine,,j balvin,el rutina siempre review ropa fiesta universidad trabajo la trend 😍 ✨ | los pelicula chill cumpleaños el humor,,742880,63334,5842,6842,0
7ca99ee1,puro lunes aesthetic con gato una universidad prepa ✈️ 🎧,universidad los viernes amigos 💅 😭 ☀️,#stream #ropa,,bizarrap,maquillaje siempre jefe cine 💄 ☀️ | los escuela restaurante stream diario los relax un aesthetic 🎮 | aesthetic diario relax las stream una coquette las ropa 😍,,329564,35814,1116,4436,0
a36cfe85,siempre viaje la amor siempre tips unboxing 📚 🌻,los ropa vacaciones moda anime amor trabajo 🌙 💪,#estudio,,the weeknd,una viaje un cine el maquillaje hoy compras stream siempre moda la tutorial 🍣 | compras con anime trend 🍕,,443625,65817,907,9684,0
ffcd9389,siempre familia viaje siempre escuela 🏖️ 💻 🍟,una pelicula hoy escuela tutorial la comedia jefe un compras perrito 🏋️‍♀️,#diario,,sebastián yatra,aqui novio siempre coquette hoy broma pelicula amigos tarea 🌻 ☀️ 🍣 | oficina un compañeros jefe tips 😍 💖,,479456,77306,2066,7933,0
91ffbcc1,el botas blancas siempre culiacan hoy lobos ⌚,un joaquín guzmán puro gatillero raptor aqui los rusos aqui sinaloa la viejón 🩸 🤐 🦏,#levanton #patrón,,los buitres de culiacán,hoy quebrar la maña alfredillo con ovídio los escuadra 38 super 🥂 🛡️ 🇲🇽 | hielo los jgl z-40 un mula hoy blanca los beltrán leyva,,300382,54741,2436,1650,1
59b77073,un stream lunes con relax hoy prepa 🧸 🎉,la rutina las stream cumpleaños 🏋️‍♀️ 💻 🌸,#escuela #baile #compañeros,,sebastián yatra,,,412460,81239,8025,5709,0
99993f4d,viaje con stream serie skincare una tips siempre mascota haul 📱 💄,rutina amor las relax con challenge hacks un vacaciones chill 📱 💖 ☕,#rutina,,,siempre compañeros tarea haul crush las moda la novio chill 💻 😊 🍣 | cine oficina challenge siempre diario 🎮 🏖️,,909583,93883,7464,11456,0
76f469aa,el la maña un crico rs compadre una buchona hoy clonazepam r-15,bacha sombrero un lanzagranadas 🐊 🦅 💉,#labarredora #meth #mayo,,grupo frontera,aqui zacatecas un mayo topón | aqui extorsión un zetas jgl un gatillero la el señor de los cielos mz 🛻,,3440566,227000,21213,5146,1
34fd1494,cds pariente glock,churro lanzagranadas siempre rs las buchón chaleco encobijado ovídio 🐍 💉,#roche #gallo #ak-47 #cincuenta,,hermanos vega jr,el piyi aqui cártel de jalisco nueva generación patrón cuerno de chivo un compadre 🎰 | un charola mafia aqui tubo chiva narcomanta aqui fentanilo cobro de piso la tj,,860200,124865,2424,17638,1
b6f7f37a,un los chimales mayo troca el patron siempre mp5 ☣️,con chimales mañoso una los ninis buchona sierra,#losántrax #alucin #elmarro #cheyenne,,,patrón las narcomensaje r15 mayiza nuevo laredo félix gallardo jesús alfredo puro meth | siempre jefe de jefes con encajuelado una arellano félix los beltrán leyva la nemesio oseguera extorsión ak 47 maña 🧹 🍾 🐕 | un caro quintero puro al millon hoy morrita lobos las p90 | los aztecas rivotril con cdg las la barredora 🥃 ☢️,,378696,59906,5877,8582,1
